datetime,timing,temperature
2025-01-01 04:57,before,1.0
2025-01-01 12:17,working,0.9
2025-01-01 18:07,after,0.9
2025-01-02 04:57,before,1.0
2025-01-02 12:07,working,2.3
2025-01-02 18:07,after,1.8
2025-01-03 04:57,before,1.6
2025-01-03 12:07,working,3.1
2025-01-03 18:07,after,1.5
2025-01-04 04:57,before,1.1
2025-01-04 12:07,working,2.1
2025-01-04 18:07,after,1.2
2025-01-05 04:57,before,0.8
2025-01-05 12:17,working,1.3
2025-01-05 18:07,after,1.2
2025-01-06 04:57,before,0.7
2025-01-06 12:17,working,3.1
2025-01-06 18:07,after,2.0
2025-01-07 04:57,before,1.3
2025-01-07 12:17,working,0.7
2025-01-07 18:07,after,1.1
2025-01-08 04:57,before,0.9
2025-01-08 12:07,working,5.6
2025-01-08 18:07,after,2.0
2025-01-09 05:07,before,0.9
2025-01-09 12:27,working,2.8
2025-01-09 18:07,after,1.9
2025-01-10 04:57,before,1.7
2025-01-10 12:17,working,1.6
2025-01-10 18:07,after,1.4
2025-01-11 05:07,before,1.0
2025-01-11 12:07,working,1.3
2025-01-11 18:07,after,0.7
2025-01-12 04:57,before,0.7
2025-01-12 12:17,working,0.9
2025-01-12 18:07,after,0.6
2025-01-13 04:57,before,1.0
2025-01-13 12:17,working,2.5
2025-01-13 18:07,after,2.2
2025-01-14 04:57,before,1.4
2025-01-14 12:07,working,0.0
2025-01-14 18:07,after,1.5
2025-01-15 04:57,before,1.2
2025-01-15 12:07,working,0.4
2025-01-15 18:07,after,1.1
2025-01-16 04:57,before,1.4
2025-01-16 12:07,working,3.1
2025-01-16 18:07,after,2.6
2025-01-17 04:57,before,1.4
2025-01-17 12:07,working,0.3
2025-01-17 18:07,after,2.0
2025-01-18 04:57,before,1.5
2025-01-18 12:07,working,0.9
2025-01-18 18:08,after,1.4
2025-01-19 04:58,before,1.3
2025-01-19 11:58,working,1.2
2025-01-19 18:08,after,1.7
2025-01-20 04:48,before,1.4
2025-01-20 11:58,working,1.9
2025-01-20 17:58,after,2.9
2025-01-21 04:48,before,1.5
2025-01-21 11:58,working,0.9
2025-01-21 17:58,after,1.5
2025-01-22 04:48,before,0.7
2025-01-22 11:58,working,3.5
2025-01-22 17:58,after,2.5
2025-01-23 04:48,before,0.7
2025-01-23 11:58,working,2.4
2025-01-23 17:58,after,1.4
2025-01-24 04:48,before,0.6
2025-01-24 11:58,working,2.7
2025-01-24 17:58,after,2.4
2025-01-25 04:48,before,1.2
2025-01-25 11:58,working,1.9
2025-01-25 17:58,after,1.7
2025-01-26 04:48,before,0.9
2025-01-26 11:58,working,1.6
2025-01-26 17:58,after,2.2
2025-01-27 04:48,before,0.9
2025-01-27 11:58,working,2.7
2025-01-27 17:58,after,2.3
2025-01-28 04:48,before,1.6
2025-01-28 11:58,working,6.2
2025-01-28 17:58,after,0.8
2025-01-29 04:48,before,0.9
2025-01-29 11:58,working,5.3
2025-01-29 17:58,after,1.4
2025-01-30 04:48,before,1.5
2025-01-30 11:58,working,1.5
2025-01-30 17:58,after,1.6
2025-01-31 04:48,before,1.0
2025-01-31 11:58,working,2.3
2025-01-31 17:58,after,1.8
