datetime,timing,temperature
2025-06-01 04:53,before,2.2
2025-06-01 12:43,working,1.1
2025-06-01 18:03,after,2.1
2025-06-02 04:53,before,1.7
2025-06-02 12:33,working,1.8
2025-06-02 18:03,after,2.6
2025-06-03 04:53,before,1.9
2025-06-03 12:33,working,5.2
2025-06-03 18:03,after,1.3
2025-06-04 04:53,before,0.9
2025-06-04 12:33,working,4.7
2025-06-04 18:03,after,1.8
2025-06-05 05:03,before,1.4
2025-06-05 12:33,working,3.1
2025-06-05 18:03,after,1.0
2025-06-06 05:03,before,1.6
2025-06-06 12:33,working,3.7
2025-06-06 18:03,after,1.1
2025-06-07 05:03,before,0.8
2025-06-07 12:33,working,0.1
2025-06-07 18:03,after,0.9
2025-06-08 05:03,before,1.7
2025-06-08 12:43,working,1.1
2025-06-08 18:03,after,1.0
2025-06-09 05:03,before,1.5
2025-06-09 12:43,working,1.2
2025-06-09 18:13,after,1.7
2025-06-10 05:04,before,1.9
2025-06-10 12:34,working,0.8
2025-06-10 18:14,after,1.4
2025-06-11 05:04,before,1.4
2025-06-11 12:34,working,3.1
2025-06-11 18:04,after,1.0
2025-06-12 05:04,before,1.4
2025-06-12 12:34,working,0.3
2025-06-12 18:04,after,1.8
2025-06-13 05:04,before,2.3
2025-06-13 12:34,working,6.8
2025-06-13 18:04,after,2.5
2025-06-14 05:04,before,1.8
2025-06-14 12:34,working,1.5
2025-06-14 18:04,after,1.1
2025-06-15 05:04,before,1.2
2025-06-15 12:44,working,1.5
2025-06-15 18:04,after,1.9
2025-06-16 05:04,before,1.9
2025-06-16 12:44,working,2.7
2025-06-16 18:14,after,2.1
2025-06-17 05:04,before,1.9
2025-06-17 12:34,working,5.7
2025-06-17 18:14,after,-0.3
2025-06-18 05:04,before,0.7
2025-06-18 12:34,working,7.6
2025-06-18 18:14,after,-0.1
2025-06-19 05:04,before,1.2
2025-06-19 12:34,working,1.5
2025-06-19 18:04,after,1.6
2025-06-20 05:04,before,0.9
2025-06-20 12:34,working,4.9
2025-06-20 18:04,after,1.1
2025-06-21 05:04,before,0.8
2025-06-21 12:34,working,-0.2
2025-06-21 18:04,after,1.2
2025-06-22 05:04,before,1.6
2025-06-22 12:44,working,2.0
2025-06-22 18:04,after,1.9
2025-06-23 05:04,before,1.2
2025-06-23 12:44,working,1.5
2025-06-23 18:14,after,2.5
2025-06-24 05:04,before,2.3
2025-06-24 12:34,working,8.4
2025-06-24 18:14,after,1.1
2025-06-25 05:04,before,1.2
2025-06-25 12:44,working,4.3
2025-06-25 18:14,after,0.7
2025-06-26 05:04,before,0.9
2025-06-26 12:44,working,2.9
2025-06-26 18:14,after,0.7
2025-06-27 05:04,before,2.0
2025-06-27 12:44,working,5.2
2025-06-27 18:04,after,-0.1
2025-06-28 05:04,before,1.3
2025-06-28 12:34,working,1.7
2025-06-28 18:04,after,1.1
2025-06-29 05:04,before,0.9
2025-06-29 12:44,working,1.3
2025-06-29 18:04,after,1.0
2025-06-30 05:04,before,1.6
2025-06-30 12:44,working,4.0
2025-06-30 18:14,after,1.7
