datetime,timing,temperature
2025-02-01 04:57,before,-17.0
2025-02-01 12:07,working,-15.9
2025-02-01 18:07,after,-15.3
2025-02-02 04:57,before,-16.4
2025-02-02 12:07,working,-15.6
2025-02-02 18:07,after,-16.0
2025-02-03 04:57,before,-16.2
2025-02-03 12:17,working,-14.9
2025-02-03 18:07,after,-16.1
2025-02-04 04:57,before,-16.5
2025-02-04 12:07,working,-13.7
2025-02-04 18:07,after,-16.9
2025-02-05 04:57,before,-16.9
2025-02-05 12:07,working,-16.2
2025-02-05 18:07,after,-9.2
2025-02-06 04:57,before,-14.9
2025-02-06 12:07,working,-14.6
2025-02-06 18:07,after,-16.5
2025-02-07 04:57,before,-16.7
2025-02-07 12:07,working,-15.6
2025-02-07 18:07,after,-15.7
2025-02-08 04:58,before,-16.4
2025-02-08 12:08,working,-15.3
2025-02-08 17:58,after,-15.9
2025-02-09 04:58,before,-16.4
2025-02-09 12:08,working,-15.7
2025-02-09 17:58,after,-16.2
2025-02-10 04:58,before,-16.4
2025-02-10 12:08,working,-14.9
2025-02-10 17:58,after,-16.1
2025-02-11 04:48,before,-15.2
2025-02-11 12:08,working,-15.7
2025-02-11 17:58,after,-16.6
2025-02-12 04:58,before,-16.6
2025-02-12 11:58,working,-16.6
2025-02-12 17:58,after,-16.6
2025-02-13 04:58,before,-16.0
2025-02-13 11:58,working,-16.1
2025-02-13 17:58,after,-15.8
2025-02-14 04:58,before,-16.2
2025-02-14 11:58,working,-13.1
2025-02-14 17:58,after,-15.2
2025-02-15 04:58,before,-16.7
2025-02-15 11:58,working,-16.7
2025-02-15 17:58,after,-16.0
2025-02-16 04:48,before,-16.1
2025-02-16 12:08,working,-15.6
2025-02-16 17:58,after,-16.1
2025-02-17 04:58,before,-16.7
2025-02-17 12:08,working,-15.4
2025-02-17 17:58,after,-16.8
2025-02-18 04:58,before,-16.6
2025-02-18 11:58,working,-17.1
2025-02-18 17:58,after,-15.6
2025-02-19 04:58,before,-16.8
2025-02-19 12:08,working,-16.4
2025-02-19 17:58,after,-15.6
2025-02-20 04:58,before,-16.6
2025-02-20 12:08,working,-16.5
2025-02-20 17:58,after,-16.1
2025-02-21 04:58,before,-16.9
2025-02-21 12:08,working,-14.3
2025-02-21 17:58,after,-16.8
2025-02-22 04:58,before,-16.5
2025-02-22 11:58,working,-16.5
2025-02-22 17:58,after,-16.6
2025-02-23 04:48,before,-14.9
2025-02-23 12:08,working,-15.5
2025-02-23 17:58,after,-16.6
2025-02-24 04:58,before,-16.6
2025-02-24 12:08,working,-16.7
2025-02-24 17:59,after,-17.3
2025-02-25 04:59,before,-16.3
2025-02-25 12:09,working,-13.6
2025-02-25 17:59,after,-13.8
2025-02-26 04:59,before,-14.9
2025-02-26 12:09,working,-14.6
2025-02-26 18:09,after,-15.4
2025-02-27 04:59,before,-16.6
2025-02-27 12:09,working,-16.0
2025-02-27 18:09,after,-16.2
2025-02-28 04:59,before,-15.8
2025-02-28 12:09,working,-13.7
2025-02-28 18:09,after,-16.5
