datetime,timing,temperature
2024-10-01 04:50,before,-16.9
2024-10-01 12:10,working,-9.2
2024-10-01 18:00,after,-16.9
2024-10-02 04:50,before,-15.7
2024-10-02 12:00,working,-16.1
2024-10-02 18:00,after,-16.7
2024-10-03 05:00,before,-16.0
2024-10-03 12:10,working,-15.0
2024-10-03 18:00,after,-15.9
2024-10-04 04:50,before,-16.1
2024-10-04 12:10,working,-12.4
2024-10-04 18:00,after,-14.7
2024-10-05 04:50,before,-16.5
2024-10-05 12:00,working,-15.7
2024-10-05 18:00,after,-15.9
2024-10-06 04:50,before,-16.3
2024-10-06 12:10,working,-14.4
2024-10-06 18:00,after,-16.1
2024-10-07 04:50,before,-16.2
2024-10-07 12:10,working,-15.0
2024-10-07 18:00,after,-16.3
2024-10-08 04:50,before,-15.8
2024-10-08 12:10,working,-13.5
2024-10-08 18:00,after,-15.8
2024-10-09 04:50,before,-15.9
2024-10-09 12:10,working,-14.7
2024-10-09 18:00,after,-16.1
2024-10-10 04:50,before,-15.7
2024-10-10 12:10,working,-15.0
2024-10-10 18:00,after,-16.0
2024-10-11 04:50,before,-16.2
2024-10-11 12:00,working,-16.8
2024-10-11 18:00,after,-18.0
2024-10-12 04:50,before,-16.1
2024-10-12 12:00,working,-16.5
2024-10-12 18:00,after,-15.9
2024-10-13 04:50,before,-15.6
2024-10-13 12:10,working,-15.7
2024-10-13 18:00,after,-16.1
2024-10-14 04:51,before,-15.9
2024-10-14 12:11,working,-14.6
2024-10-14 18:01,after,-15.8
2024-10-15 05:01,before,-16.6
2024-10-15 12:11,working,-14.1
2024-10-15 18:01,after,-15.3
2024-10-16 04:51,before,-16.0
2024-10-16 12:11,working,-14.5
2024-10-16 18:01,after,-16.1
2024-10-17 04:51,before,-15.8
2024-10-17 12:11,working,-14.4
2024-10-17 18:01,after,-15.8
2024-10-18 04:51,before,-15.6
2024-10-18 12:11,working,-11.9
2024-10-18 18:01,after,-17.3
2024-10-19 04:51,before,-16.2
2024-10-19 12:01,working,-16.5
2024-10-19 18:01,after,-15.5
2024-10-20 04:51,before,-16.5
2024-10-20 12:11,working,-16.3
2024-10-20 18:01,after,-16.9
2024-10-21 04:51,before,-16.3
2024-10-21 12:11,working,-15.6
2024-10-21 18:01,after,-15.8
2024-10-22 04:51,before,-16.1
2024-10-22 12:11,working,-14.4
2024-10-22 18:01,after,-17.0
2024-10-23 04:51,before,-15.9
2024-10-23 12:11,working,-15.2
2024-10-23 18:01,after,-16.0
2024-10-24 04:51,before,-16.8
2024-10-24 12:11,working,-14.9
2024-10-24 18:01,after,-16.0
2024-10-25 04:51,before,-16.5
2024-10-25 12:11,working,-14.7
2024-10-25 18:01,after,-17.4
2024-10-26 04:51,before,-15.7
2024-10-26 12:01,working,-15.6
2024-10-26 18:01,after,-16.5
2024-10-27 04:51,before,-15.7
2024-10-27 12:11,working,-15.6
2024-10-27 18:01,after,-16.4
2024-10-28 04:51,before,-15.6
2024-10-28 12:11,working,-13.4
2024-10-28 18:01,after,-15.9
2024-10-29 04:51,before,-15.9
2024-10-29 12:11,working,-15.0
2024-10-29 18:01,after,-16.8
2024-10-30 04:51,before,-16.3
2024-10-30 12:11,working,-16.0
2024-10-30 18:02,after,-15.5
2024-10-31 04:52,before,-16.3
2024-10-31 12:12,working,-16.0
2024-10-31 18:02,after,-16.1
