datetime,timing,temperature
2025-04-01 04:58,before,0.4
2025-04-01 12:28,working,0.7
2025-04-01 18:08,after,0.5
2025-04-02 04:58,before,0.5
2025-04-02 12:18,working,1.0
2025-04-02 18:08,after,2.1
2025-04-03 04:58,before,1.0
2025-04-03 12:18,working,2.1
2025-04-03 18:08,after,1.6
2025-04-04 04:58,before,1.0
2025-04-04 12:18,working,0.6
2025-04-04 18:08,after,0.4
2025-04-05 04:58,before,0.9
2025-04-05 12:18,working,0.9
2025-04-05 18:08,after,0.3
2025-04-06 04:58,before,0.8
2025-04-06 12:18,working,0.3
2025-04-06 18:09,after,0.3
2025-04-07 04:59,before,0.5
2025-04-07 12:19,working,0.7
2025-04-07 18:09,after,0.4
2025-04-08 04:59,before,0.4
2025-04-08 12:19,working,0.9
2025-04-08 18:09,after,0.9
2025-04-09 04:59,before,0.5
2025-04-09 12:19,working,2.0
2025-04-09 18:09,after,1.1
2025-04-10 04:59,before,1.2
2025-04-10 12:19,working,2.3
2025-04-10 18:09,after,0.8
2025-04-11 04:59,before,0.4
2025-04-11 12:19,working,0.6
2025-04-11 18:09,after,0.3
2025-04-12 04:59,before,0.8
2025-04-12 12:19,working,0.7
2025-04-12 18:09,after,0.3
2025-04-13 04:59,before,0.8
2025-04-13 13:19,working,0.5
2025-04-13 18:09,after,0.4
2025-04-14 04:59,before,0.8
2025-04-14 12:29,working,1.0
2025-04-14 18:09,after,0.3
2025-04-15 04:59,before,0.7
2025-04-15 12:29,working,0.8
2025-04-15 18:09,after,0.5
2025-04-16 04:59,before,0.7
2025-04-16 12:29,working,4.5
2025-04-16 18:09,after,1.7
2025-04-17 04:59,before,0.9
2025-04-17 12:19,working,1.4
2025-04-17 18:09,after,-0.2
2025-04-18 04:59,before,0.9
2025-04-18 12:19,working,0.6
2025-04-18 18:09,after,0.4
2025-04-19 04:59,before,0.9
2025-04-19 12:19,working,0.8
2025-04-19 18:09,after,0.3
2025-04-20 04:59,before,0.7
2025-04-20 12:29,working,0.5
2025-04-20 18:09,after,0.7
2025-04-21 04:59,before,0.8
2025-04-21 12:30,working,0.3
2025-04-21 18:10,after,0.3
2025-04-22 05:00,before,0.8
2025-04-22 12:30,working,1.1
2025-04-22 18:10,after,0.9
2025-04-23 05:00,before,0.7
2025-04-23 12:30,working,3.0
2025-04-23 18:10,after,1.9
2025-04-24 05:00,before,0.8
2025-04-24 12:30,working,0.8
2025-04-24 18:10,after,2.0
2025-04-25 05:00,before,0.8
2025-04-25 12:30,working,0.5
2025-04-25 18:10,after,0.4
2025-04-26 05:00,before,0.7
2025-04-26 12:20,working,0.9
2025-04-26 18:10,after,0.6
2025-04-27 05:00,before,0.6
2025-04-27 12:30,working,1.2
2025-04-27 18:10,after,0.5
2025-04-28 05:00,before,0.7
2025-04-28 12:30,working,0.4
2025-04-28 19:40,after,0.4
2025-04-29 05:00,before,0.8
2025-04-29 12:30,working,0.4
2025-04-29 18:10,after,0.8
2025-04-30 05:00,before,0.7
2025-04-30 12:30,working,1.1
2025-04-30 18:10,after,1.2
