datetime,timing,temperature
2025-07-01 05:04,before,2.8
2025-07-01 12:54,working,0.2
2025-07-01 18:14,after,0.5
2025-07-02 05:04,before,2.0
2025-07-02 12:45,working,1.8
2025-07-02 18:15,after,0.5
2025-07-03 05:05,before,3.2
2025-07-03 12:45,working,1.1
2025-07-03 18:15,after,0.7
2025-07-04 05:05,before,3.4
2025-07-04 12:45,working,1.2
2025-07-04 18:05,after,0.5
2025-07-05 05:05,before,2.4
2025-07-05 12:35,working,0.3
2025-07-05 18:05,after,0.5
2025-07-06 05:05,before,1.9
2025-07-06 12:45,working,0.8
2025-07-06 18:05,after,1.2
2025-07-07 05:05,before,3.0
2025-07-07 12:45,working,0.5
2025-07-07 18:15,after,0.5
2025-07-08 05:05,before,2.6
2025-07-08 12:45,working,0.2
2025-07-08 18:15,after,0.1
2025-07-09 05:05,before,3.8
2025-07-09 12:45,working,4.5
2025-07-09 18:15,after,1.3
2025-07-10 05:05,before,2.1
2025-07-10 12:45,working,1.6
2025-07-10 18:15,after,1.9
2025-07-11 05:05,before,3.2
2025-07-11 12:45,working,0.2
2025-07-11 18:15,after,0.3
2025-07-12 05:05,before,2.9
2025-07-12 12:45,working,0.7
2025-07-12 18:05,after,1.2
2025-07-13 05:05,before,3.8
2025-07-13 12:55,working,0.0
2025-07-13 18:05,after,1.0
2025-07-14 05:05,before,3.1
2025-07-14 12:55,working,1.2
2025-07-14 18:15,after,0.7
2025-07-15 05:05,before,2.0
2025-07-15 12:55,working,1.0
2025-07-15 18:15,after,0.6
2025-07-16 05:05,before,2.8
2025-07-16 12:45,working,3.3
2025-07-16 18:15,after,1.8
2025-07-17 05:06,before,2.8
2025-07-17 12:36,working,2.3
2025-07-17 18:06,after,1.9
2025-07-18 04:56,before,1.6
2025-07-18 12:46,working,0.3
2025-07-18 18:06,after,0.3
2025-07-19 04:56,before,2.2
2025-07-19 12:36,working,1.1
2025-07-19 17:56,after,0.4
2025-07-20 04:56,before,1.9
2025-07-20 12:46,working,-0.1
2025-07-20 17:56,after,0.2
2025-07-21 04:56,before,2.0
2025-07-21 12:46,working,0.7
2025-07-21 18:06,after,1.2
2025-07-22 04:56,before,1.2
2025-07-22 12:46,working,0.4
2025-07-22 18:06,after,0.7
2025-07-23 04:56,before,2.4
2025-07-23 12:46,working,2.7
2025-07-23 18:06,after,1.9
2025-07-24 04:56,before,1.5
2025-07-24 12:46,working,1.0
2025-07-24 18:06,after,0.7
2025-07-25 04:56,before,2.0
2025-07-25 12:46,working,0.5
2025-07-25 18:06,after,0.6
2025-07-26 04:56,before,2.3
2025-07-26 12:36,working,0.7
2025-07-26 17:56,after,0.9
2025-07-27 04:56,before,1.5
2025-07-27 12:46,working,0.1
2025-07-27 17:56,after,1.1
2025-07-28 04:56,before,2.0
2025-07-28 12:46,working,0.5
2025-07-28 18:06,after,1.1
2025-07-29 04:56,before,1.2
2025-07-29 04:56,before,1.2
2025-07-29 12:46,working,0.4
2025-07-29 18:06,after,0.6
2025-07-30 04:56,before,2.0
2025-07-30 12:46,working,3.7
2025-07-30 18:06,after,1.6
2025-07-31 04:56,before,0.8
2025-07-31 12:47,working,1.7
2025-07-31 18:07,after,1.2
