datetime,timing,temperature
2025-12-01 04:55,before,0.7
2025-12-01 12:55,working,1.5
2025-12-01 18:15,after,1.0
2025-12-02 04:55,before,1.1
2025-12-02 12:35,working,1.4
2025-12-02 18:05,after,1.3
2025-12-03 04:55,before,1.1
2025-12-03 12:35,working,5.2
2025-12-03 18:05,after,0.9
2025-12-04 04:55,before,1.3
2025-12-04 12:35,working,2.4
2025-12-04 18:05,after,1.7
2025-12-05 04:55,before,0.5
2025-12-05 12:35,working,1.8
2025-12-05 18:05,after,1.2
2025-12-06 04:55,before,0.5
2025-12-06 12:25,working,0.1
2025-12-06 18:05,after,1.4
2025-12-07 04:55,before,1.4
2025-12-07 12:45,working,1.2
2025-12-07 18:05,after,0.1
2025-12-08 04:55,before,0.0
2025-12-08 12:45,working,1.5
2025-12-08 18:16,after,0.2
2025-12-09 04:56,before,1.3
2025-12-09 12:36,working,1.4
2025-12-09 18:06,after,0.1
2025-12-10 04:56,before,1.0
2025-12-10 12:46,working,3.9
2025-12-10 18:06,after,1.7
2025-12-11 04:56,before,1.1
2025-12-11 12:46,working,2.9
2025-12-11 18:06,after,1.8
2025-12-12 04:56,before,1.0
2025-12-12 12:36,working,1.1
2025-12-12 18:06,after,0.3
2025-12-13 04:56,before,1.2
2025-12-13 12:36,working,0.9
2025-12-13 17:56,after,0.1
2025-12-14 04:56,before,0.8
2025-12-14 12:46,working,0.1
2025-12-14 17:56,after,0.2
2025-12-15 04:56,before,-0.1
2025-12-15 12:46,working,0.4
2025-12-15 18:16,after,1.2
2025-12-16 04:56,before,1.2
2025-12-16 12:46,working,1.0
2025-12-16 18:06,after,0.9
2025-12-17 04:56,before,0.5
2025-12-17 12:36,working,2.0
2025-12-17 18:06,after,0.9
