datetime,timing,temperature
2025-02-01 04:50,before,1.9
2025-02-01 12:00,working,1.8
2025-02-01 18:00,after,1.9
2025-02-02 04:50,before,1.8
2025-02-02 12:00,working,1.5
2025-02-02 18:00,after,1.8
2025-02-03 04:50,before,1.7
2025-02-03 12:10,working,-1.1
2025-02-03 18:10,after,1.2
2025-02-04 05:00,before,-0.2
2025-02-04 12:10,working,1.8
2025-02-04 18:10,after,3.1
2025-02-05 05:00,before,0.1
2025-02-05 12:10,working,1.7
2025-02-05 18:10,after,2.2
2025-02-06 05:00,before,-0.2
2025-02-06 12:10,working,0.5
2025-02-06 18:10,after,2.6
2025-02-07 05:00,before,0.4
2025-02-07 12:10,working,3.1
2025-02-07 18:10,after,2.1
2025-02-08 05:00,before,0.5
2025-02-08 12:10,working,2.0
2025-02-08 18:00,after,2.1
2025-02-09 05:00,before,0.7
2025-02-09 12:10,working,-0.3
2025-02-09 18:00,after,0.9
2025-02-10 05:00,before,-0.4
2025-02-10 12:10,working,-0.6
2025-02-10 18:00,after,0.8
2025-02-11 04:50,before,1.2
2025-02-11 12:10,working,-0.2
2025-02-11 18:00,after,-0.5
2025-02-12 05:00,before,1.1
2025-02-12 12:00,working,-0.9
2025-02-12 18:00,after,-0.3
2025-02-13 05:00,before,1.6
2025-02-13 12:00,working,1.7
2025-02-13 18:00,after,0.8
2025-02-14 05:00,before,1.7
2025-02-14 12:00,working,0.8
2025-02-14 18:00,after,1.7
2025-02-15 05:00,before,1.3
2025-02-15 12:00,working,1.1
2025-02-15 18:00,after,1.9
2025-02-16 04:50,before,2.3
2025-02-16 12:10,working,1.0
2025-02-16 18:00,after,0.9
2025-02-17 05:00,before,2.2
2025-02-17 12:10,working,2.5
2025-02-17 18:00,after,2.0
2025-02-18 05:00,before,1.4
2025-02-18 12:00,working,2.1
2025-02-18 18:00,after,0.8
2025-02-19 05:00,before,1.4
2025-02-19 12:10,working,3.5
2025-02-19 18:00,after,2.2
2025-02-20 05:00,before,-0.1
2025-02-20 12:10,working,2.6
2025-02-20 18:00,after,0.9
2025-02-21 05:00,before,0.1
2025-02-21 12:10,working,1.8
2025-02-21 18:00,after,1.8
2025-02-22 05:00,before,0.5
2025-02-22 12:00,working,0.8
2025-02-22 18:00,after,1.4
2025-02-23 04:50,before,-1.0
2025-02-23 12:10,working,1.4
2025-02-23 18:00,after,1.3
2025-02-24 05:00,before,-0.3
2025-02-24 12:10,working,2.9
2025-02-24 18:00,after,2.2
2025-02-25 05:01,before,0.5
2025-02-25 12:11,working,2.3
2025-02-25 18:01,after,3.3
2025-02-26 05:01,before,0.9
2025-02-26 12:11,working,1.8
2025-02-26 18:11,after,0.4
2025-02-27 05:01,before,0.4
2025-02-27 12:11,working,1.3
2025-02-27 18:11,after,1.0
2025-02-28 05:01,before,1.8
2025-02-28 12:11,working,-1.1
2025-02-28 18:11,after,-0.1
