datetime,timing,temperature
2025-06-01 04:56,before,-18.6
2025-06-01 12:46,working,-18.4
2025-06-01 18:06,after,-18.5
2025-06-02 04:56,before,-17.9
2025-06-02 12:36,working,-18.5
2025-06-02 18:06,after,-17.9
2025-06-03 04:56,before,-17.8
2025-06-03 12:36,working,-8.8
2025-06-03 18:06,after,-19.6
2025-06-04 04:56,before,-17.7
2025-06-04 12:26,working,-18.8
2025-06-04 17:56,after,-18.0
2025-06-05 04:56,before,-16.7
2025-06-05 12:26,working,-17.9
2025-06-05 17:56,after,-18.7
2025-06-06 04:56,before,-18.1
2025-06-06 12:26,working,-15.6
2025-06-06 17:56,after,-18.3
2025-06-07 04:56,before,-18.0
2025-06-07 12:26,working,-19.0
2025-06-07 16:06,after,-18.6
2025-06-08 04:56,before,-18.0
2025-06-08 12:36,working,-18.2
2025-06-08 17:56,after,-18.7
2025-06-09 04:56,before,-17.8
2025-06-09 12:36,working,-17.8
2025-06-09 18:06,after,-18.6
2025-06-10 04:57,before,-18.8
2025-06-10 12:27,working,-19.1
2025-06-10 18:07,after,-18.3
2025-06-11 04:57,before,-17.9
2025-06-11 12:27,working,-18.8
2025-06-11 17:57,after,-18.3
2025-06-12 04:57,before,-18.8
2025-06-12 12:27,working,-12.3
2025-06-12 17:57,after,-18.0
2025-06-13 04:57,before,-18.9
2025-06-13 12:27,working,-18.7
2025-06-13 17:57,after,-13.8
2025-06-14 04:57,before,-18.2
2025-06-14 12:27,working,-18.2
2025-06-14 17:57,after,-18.4
2025-06-15 04:57,before,-17.8
2025-06-15 12:37,working,-18.2
2025-06-15 17:57,after,-18.0
2025-06-16 04:57,before,-18.6
2025-06-16 12:37,working,-18.3
2025-06-16 18:07,after,-19.9
2025-06-17 04:57,before,-18.4
2025-06-17 12:27,working,-19.3
2025-06-17 18:07,after,-18.5
2025-06-18 04:57,before,-18.5
2025-06-18 12:27,working,-18.9
2025-06-18 18:07,after,-18.8
2025-06-19 04:57,before,-19.1
2025-06-19 12:27,working,-19.7
2025-06-19 17:57,after,-18.0
2025-06-20 04:57,before,-18.3
2025-06-20 12:27,working,-18.4
2025-06-20 17:57,after,-18.5
2025-06-21 04:57,before,-18.2
2025-06-21 12:27,working,-18.1
2025-06-21 17:57,after,-18.0
2025-06-22 04:57,before,-18.5
2025-06-22 12:37,working,-18.8
2025-06-22 17:57,after,-18.1
2025-06-23 04:57,before,-18.0
2025-06-23 12:37,working,-18.5
2025-06-23 18:07,after,-19.4
2025-06-24 04:58,before,-18.1
2025-06-24 12:28,working,-17.6
2025-06-24 18:08,after,-18.7
2025-06-25 04:58,before,-18.8
2025-06-25 12:38,working,-17.8
2025-06-25 18:08,after,-18.2
2025-06-26 04:58,before,-18.4
2025-06-26 12:38,working,-19.0
2025-06-26 18:08,after,-18.8
2025-06-27 04:58,before,-18.9
2025-06-27 12:38,working,-17.1
2025-06-27 17:58,after,-18.9
2025-06-28 04:58,before,-18.6
2025-06-28 12:28,working,-18.1
2025-06-28 17:58,after,-19.1
2025-06-29 04:58,before,-18.9
2025-06-29 12:38,working,-8.9
2025-06-29 17:58,after,-18.2
2025-06-30 04:58,before,-18.0
2025-06-30 12:38,working,-17.9
2025-06-30 18:08,after,-18.2
