datetime,timing,temperature
2025-11-01 05:01,before,-6.7
2025-11-01 12:31,working,-16.9
2025-11-01 18:01,after,-16.9
2025-11-02 05:01,before,-6.8
2025-11-02 12:31,working,-17.0
2025-11-02 18:01,after,-17.0
2025-11-03 05:01,before,-7.3
2025-11-03 12:41,working,-17.2
2025-11-03 18:11,after,-16.8
2025-11-04 05:01,before,-7.8
2025-11-04 12:31,working,-17.1
2025-11-04 18:11,after,-17.5
2025-11-05 05:01,before,-8.9
2025-11-05 12:31,working,-16.6
2025-11-05 18:11,after,-17.7
2025-11-06 05:01,before,-8.6
2025-11-06 12:31,working,-17.2
2025-11-06 18:11,after,-16.9
2025-11-07 05:01,before,-9.2
2025-11-07 12:31,working,-17.1
2025-11-07 18:01,after,-17.5
2025-11-08 05:01,before,-10.2
2025-11-08 12:21,working,-17.0
2025-11-08 18:01,after,-17.6
2025-11-09 05:01,before,-9.3
2025-11-09 12:31,working,-17.8
2025-11-09 18:01,after,-17.3
2025-11-10 05:01,before,-9.5
2025-11-10 12:41,working,-17.4
2025-11-10 18:11,after,-17.4
2025-11-11 05:01,before,-9.2
2025-11-11 12:31,working,-17.4
2025-11-11 18:11,after,-17.1
2025-11-12 05:01,before,-9.1
2025-11-12 12:31,working,-17.6
2025-11-12 18:11,after,-17.0
2025-11-13 05:02,before,-8.7
2025-11-13 12:32,working,-17.8
2025-11-13 18:12,after,-17.2
2025-11-14 05:02,before,-9.7
2025-11-14 12:32,working,-11.2
2025-11-14 18:12,after,-17.2
2025-11-15 05:02,before,-10.7
2025-11-15 12:32,working,-18.1
2025-11-15 18:02,after,-17.3
2025-11-16 05:02,before,-9.8
2025-11-16 12:32,working,-17.8
2025-11-16 18:02,after,-17.6
2025-11-17 05:02,before,-11.2
2025-11-17 12:32,working,-17.2
2025-11-17 18:12,after,-17.6
2025-11-18 05:02,before,-10.6
2025-11-18 12:32,working,-17.8
2025-11-18 18:12,after,-17.1
2025-11-19 05:02,before,-10.2
2025-11-19 12:32,working,-17.7
2025-11-19 18:12,after,-17.0
2025-11-20 05:02,before,-8.8
2025-11-20 12:32,working,-17.4
2025-11-20 18:02,after,-17.7
2025-11-21 05:02,before,-8.9
2025-11-21 12:32,working,-17.3
2025-11-21 18:02,after,-16.7
2025-11-22 05:02,before,-7.5
2025-11-22 12:22,working,-16.9
2025-11-22 18:02,after,-17.1
2025-11-23 05:02,before,-8.6
2025-11-23 12:42,working,-17.2
2025-11-23 18:02,after,-17.4
2025-11-24 05:02,before,-8.7
2025-11-24 12:42,working,-17.6
2025-11-24 18:02,after,-16.6
2025-11-25 04:52,before,4.6
2025-11-25 12:32,working,-18.0
2025-11-25 18:02,after,-17.7
2025-11-26 04:52,before,4.5
2025-11-26 12:32,working,-18.1
2025-11-26 18:02,after,-16.8
2025-11-27 04:52,before,4.5
2025-11-27 12:32,working,-17.1
2025-11-27 18:02,after,-17.9
2025-11-28 04:52,before,4.7
2025-11-28 12:22,working,-18.1
2025-11-28 18:02,after,-17.0
2025-11-29 04:52,before,4.4
2025-11-29 12:22,working,-17.4
2025-11-29 18:02,after,-16.5
2025-11-30 04:52,before,4.3
2025-11-30 12:42,working,-17.5
2025-11-30 18:03,after,-16.5
