datetime,timing,temperature
2025-08-01 04:56,before,4.3
2025-08-01 12:56,working,-16.4
2025-08-01 18:06,after,-15.7
2025-08-02 04:56,before,4.4
2025-08-02 12:36,working,-16.9
2025-08-02 18:06,after,-17.5
2025-08-03 04:56,before,3.7
2025-08-03 12:56,working,-17.6
2025-08-03 17:56,after,-17.4
2025-08-04 04:56,before,4.2
2025-08-04 12:56,working,-16.6
2025-08-04 18:16,after,-16.9
2025-08-05 04:56,before,4.7
2025-08-05 12:46,working,-16.5
2025-08-05 18:06,after,-17.0
2025-08-06 04:56,before,4.0
2025-08-06 12:46,working,-17.3
2025-08-06 18:06,after,-17.1
2025-08-07 04:56,before,4.7
2025-08-07 12:46,working,-16.9
2025-08-07 18:06,after,-16.6
2025-08-08 04:56,before,3.9
2025-08-08 12:46,working,-17.1
2025-08-08 18:06,after,-17.6
2025-08-09 04:56,before,4.2
2025-08-09 12:36,working,-17.7
2025-08-09 17:56,after,-17.3
2025-08-10 04:56,before,4.1
2025-08-10 12:46,working,-17.3
2025-08-10 17:56,after,-17.1
2025-08-11 04:56,before,4.2
2025-08-11 12:46,working,-16.7
2025-08-11 18:06,after,-16.7
2025-08-11 18:46,after,-17.4
2025-08-12 04:56,before,3.9
2025-08-12 12:36,working,-17.1
2025-08-12 18:06,after,-17.7
2025-08-13 04:56,before,4.4
2025-08-13 12:36,working,-18.0
2025-08-13 18:06,after,-17.4
2025-08-14 04:56,before,4.4
2025-08-14 12:36,working,-18.2
2025-08-14 18:06,after,-17.6
2025-08-15 04:56,before,4.1
2025-08-15 12:36,working,-14.2
2025-08-15 18:07,after,-17.5
2025-08-16 04:57,before,4.1
2025-08-16 12:27,working,-17.9
2025-08-16 17:57,after,-17.1
2025-08-17 04:57,before,4.1
2025-08-17 12:37,working,-17.2
2025-08-17 17:57,after,-17.6
2025-08-18 04:57,before,3.2
2025-08-18 12:47,working,-17.1
2025-08-18 18:07,after,-17.0
2025-08-19 04:57,before,4.8
2025-08-19 12:27,working,-17.5
2025-08-19 17:57,after,-17.3
2025-08-20 04:57,before,4.5
2025-08-20 12:27,working,-17.2
2025-08-20 17:57,after,-16.8
2025-08-21 04:57,before,3.5
2025-08-21 12:27,working,-17.4
2025-08-21 17:57,after,-17.4
2025-08-22 04:57,before,4.5
2025-08-22 12:27,working,-17.6
2025-08-22 17:57,after,-16.7
2025-08-23 04:57,before,4.3
2025-08-23 12:17,working,-16.9
2025-08-23 17:57,after,-16.7
2025-08-24 04:57,before,2.8
2025-08-24 12:27,working,-16.1
2025-08-24 17:57,after,-17.1
2025-08-25 04:57,before,4.2
2025-08-25 12:27,working,-17.5
2025-08-25 18:07,after,-16.8
2025-08-26 04:57,before,4.0
2025-08-26 12:27,working,-16.7
2025-08-26 17:57,after,-16.2
2025-08-27 04:57,before,4.4
2025-08-27 12:17,working,-16.2
2025-08-27 17:57,after,-16.7
2025-08-28 04:57,before,2.9
2025-08-28 12:17,working,-17.7
2025-08-28 17:57,after,-17.1
2025-08-29 04:57,before,3.7
2025-08-29 12:17,working,-17.6
2025-08-29 17:57,after,-15.6
2025-08-30 04:57,before,4.8
2025-08-30 12:17,working,-16.5
2025-08-30 17:57,after,-16.1
2025-08-31 04:57,before,3.4
2025-08-31 12:17,working,-16.2
2025-08-31 17:57,after,-16.1
