datetime,timing,temperature
2025-11-01 05:02,before,1.3
2025-11-01 12:32,working,1.3
2025-11-01 18:02,after,0.8
2025-11-02 05:02,before,1.0
2025-11-02 12:32,working,0.7
2025-11-02 18:02,after,0.9
2025-11-03 05:02,before,0.9
2025-11-03 12:42,working,0.3
2025-11-03 18:12,after,0.6
2025-11-04 05:02,before,0.2
2025-11-04 12:32,working,1.5
2025-11-04 18:12,after,1.0
2025-11-05 05:02,before,1.5
2025-11-05 12:32,working,2.5
2025-11-05 18:12,after,1.0
2025-11-06 05:02,before,1.3
2025-11-06 12:32,working,1.2
2025-11-06 18:12,after,1.3
2025-11-07 04:42,before,1.4
2025-11-07 12:32,working,1.0
2025-11-07 18:02,after,2.3
2025-11-08 05:02,before,1.2
2025-11-08 12:22,working,2.4
2025-11-08 18:02,after,1.8
2025-11-09 05:02,before,1.6
2025-11-09 12:32,working,1.4
2025-11-09 18:02,after,1.2
2025-11-10 05:02,before,1.5
2025-11-10 12:42,working,1.6
2025-11-10 18:12,after,0.9
2025-11-11 05:02,before,0.9
2025-11-11 12:32,working,1.5
2025-11-11 18:12,after,1.3
2025-11-12 05:02,before,0.7
2025-11-12 12:32,working,2.0
2025-11-12 18:12,after,1.5
2025-11-13 05:02,before,0.7
2025-11-13 12:32,working,1.6
2025-11-13 18:12,after,1.1
2025-11-14 05:02,before,1.1
2025-11-14 12:32,working,1.1
2025-11-14 18:12,after,1.0
2025-11-15 05:02,before,1.5
2025-11-15 12:32,working,1.3
2025-11-15 18:02,after,1.1
2025-11-16 05:02,before,1.1
2025-11-16 12:32,working,0.5
2025-11-16 18:02,after,0.6
2025-11-17 05:02,before,1.1
2025-11-17 12:32,working,3.0
2025-11-17 17:22,after,1.0
2025-11-18 03:22,before,1.2
2025-11-18 12:32,working,1.4
2025-11-18 18:12,after,0.9
2025-11-19 05:02,before,0.8
2025-11-19 12:32,working,2.2
2025-11-19 18:12,after,0.8
2025-11-20 03:12,before,1.3
2025-11-20 12:32,working,0.7
2025-11-20 18:02,after,0.9
2025-11-21 05:02,before,0.6
2025-11-21 12:32,working,1.2
2025-11-21 18:02,after,3.1
2025-11-22 05:02,before,1.6
2025-11-22 12:22,working,1.0
2025-11-22 18:02,after,1.1
2025-11-23 05:02,before,1.5
2025-11-23 12:42,working,1.1
2025-11-23 18:02,after,0.8
2025-11-24 05:02,before,1.0
2025-11-24 12:42,working,1.6
2025-11-24 18:02,after,1.6
2025-11-25 04:52,before,1.4
2025-11-25 12:32,working,0.8
2025-11-25 18:02,after,1.4
2025-11-26 04:52,before,1.3
2025-11-26 12:32,working,2.8
2025-11-26 18:02,after,0.6
2025-11-27 04:52,before,0.7
2025-11-27 12:32,working,5.6
2025-11-27 18:02,after,0.6
2025-11-28 04:52,before,0.3
2025-11-28 12:22,working,1.5
2025-11-28 18:02,after,2.6
2025-11-29 04:52,before,1.1
2025-11-29 12:22,working,0.9
2025-11-29 17:12,after,0.9
2025-11-30 05:02,before,0.9
2025-11-30 12:12,working,0.7
2025-11-30 17:52,after,0.7
