datetime,timing,temperature
2025-08-01 05:01,before,1.5
2025-08-01 13:01,working,4.7
2025-08-01 18:11,after,5.0
2025-08-02 05:01,before,1.7
2025-08-02 12:41,working,1.8
2025-08-02 18:11,after,1.4
2025-08-03 05:01,before,1.5
2025-08-03 13:01,working,5.4
2025-08-03 18:01,after,1.5
2025-08-04 05:01,before,2.0
2025-08-04 13:01,working,5.9
2025-08-04 18:21,after,3.2
2025-08-05 05:01,before,0.5
2025-08-05 12:51,working,2.3
2025-08-05 18:11,after,1.6
2025-08-06 05:01,before,1.0
2025-08-06 12:51,working,7.3
2025-08-06 18:11,after,3.6
2025-08-07 05:01,before,1.8
2025-08-07 12:41,working,1.9
2025-08-07 18:11,after,1.1
2025-08-08 05:01,before,1.7
2025-08-08 12:51,working,2.4
2025-08-08 18:11,after,3.9
2025-08-09 05:01,before,1.6
2025-08-09 12:31,working,0.8
2025-08-09 18:01,after,1.4
2025-08-10 05:01,before,1.4
2025-08-10 12:51,working,2.0
2025-08-10 18:01,after,1.6
2025-08-11 05:01,before,1.4
2025-08-11 12:51,working,2.9
2025-08-11 18:11,after,1.7
2025-08-11 18:51,after,1.8
2025-08-12 05:01,before,0.9
2025-08-12 12:41,working,1.0
2025-08-12 18:11,after,2.1
2025-08-13 05:01,before,0.9
2025-08-13 12:41,working,3.3
2025-08-13 18:11,after,2.1
2025-08-14 05:01,before,1.5
2025-08-14 12:41,working,1.4
2025-08-14 18:11,after,2.4
2025-08-15 05:01,before,1.3
2025-08-15 12:41,working,1.6
2025-08-15 18:11,after,4.6
2025-08-16 05:01,before,1.0
2025-08-16 12:31,working,0.8
2025-08-16 18:01,after,1.4
2025-08-17 05:01,before,1.6
2025-08-17 12:41,working,1.1
2025-08-17 18:01,after,1.4
2025-08-18 05:01,before,1.2
2025-08-18 12:51,working,4.0
2025-08-18 18:11,after,3.1
2025-08-19 05:01,before,0.8
2025-08-19 12:31,working,1.1
2025-08-19 18:01,after,1.5
2025-08-20 05:01,before,1.2
2025-08-20 12:31,working,3.0
2025-08-20 18:01,after,3.6
2025-08-21 05:01,before,1.4
2025-08-21 12:31,working,2.4
2025-08-21 18:01,after,2.4
2025-08-22 05:01,before,1.2
2025-08-22 12:31,working,1.5
2025-08-22 18:01,after,4.0
2025-08-23 04:51,before,2.6
2025-08-23 12:21,working,2.4
2025-08-23 18:01,after,2.3
2025-08-24 05:01,before,2.2
2025-08-24 12:32,working,1.7
2025-08-24 18:01,after,2.0
2025-08-25 05:01,before,1.6
2025-08-25 12:31,working,2.4
2025-08-25 18:11,after,2.7
2025-08-26 05:02,before,0.3
2025-08-26 12:32,working,1.2
2025-08-26 18:01,after,0.9
2025-08-27 05:01,before,1.0
2025-08-27 12:21,working,4.5
2025-08-27 18:01,after,3.3
2025-08-28 05:01,before,1.0
2025-08-28 12:21,working,3.3
2025-08-28 18:01,after,2.6
2025-08-29 05:01,before,0.7
2025-08-29 12:21,working,1.3
2025-08-29 18:01,after,3.9
2025-08-30 05:01,before,0.8
2025-08-30 12:21,working,1.8
2025-08-30 18:01,after,1.7
2025-08-31 05:01,before,2.0
2025-08-31 12:21,working,1.5
2025-08-31 18:01,after,1.8
