datetime,timing,temperature
2025-09-01 05:01,before,1.8
2025-09-01 12:41,working,2.5
2025-09-01 18:11,after,2.4
2025-09-02 05:01,before,1.2
2025-09-02 12:21,working,0.7
2025-09-02 18:01,after,1.6
2025-09-03 05:02,before,1.0
2025-09-03 12:11,working,5.3
2025-09-03 18:01,after,3.1
2025-09-04 05:01,before,1.9
2025-09-04 12:12,working,4.1
2025-09-04 18:02,after,3.1
2025-09-05 05:02,before,0.9
2025-09-05 12:22,working,1.4
2025-09-05 18:01,after,3.1
2025-09-06 05:01,before,1.7
2025-09-06 12:11,working,2.2
2025-09-06 18:02,after,1.5
2025-09-07 05:01,before,1.3
2025-09-07 12:22,working,1.0
2025-09-07 18:01,after,0.5
2025-09-08 05:02,before,1.6
2025-09-08 12:22,working,2.1
2025-09-08 18:12,after,2.5
2025-09-09 05:02,before,1.0
2025-09-09 12:22,working,2.0
2025-09-09 18:02,after,1.4
2025-09-10 05:02,before,1.2
2025-09-10 12:12,working,4.8
2025-09-10 18:01,after,3.0
2025-09-11 05:02,before,0.9
2025-09-11 12:22,working,2.0
2025-09-11 18:02,after,2.3
2025-09-12 05:02,before,0.5
2025-09-12 12:12,working,1.1
2025-09-12 18:02,after,2.5
2025-09-13 05:02,before,1.0
2025-09-13 12:12,working,1.3
2025-09-13 18:02,after,1.4
2025-09-14 05:02,before,1.4
2025-09-14 12:22,working,0.8
2025-09-14 18:02,after,0.6
2025-09-15 04:52,before,0.7
2025-09-15 12:32,working,0.8
2025-09-15 18:12,after,1.9
2025-09-16 05:02,before,1.5
2025-09-16 12:12,working,2.3
2025-09-16 18:02,after,0.9
2025-09-17 05:02,before,1.0
2025-09-17 12:12,working,4.8
2025-09-17 18:02,after,3.8
2025-09-18 05:02,before,1.7
2025-09-18 12:22,working,3.2
2025-09-18 18:02,after,2.7
2025-09-19 05:02,before,1.6
2025-09-19 12:22,working,1.3
2025-09-19 18:02,after,0.5
2025-09-20 05:02,before,1.5
2025-09-20 12:12,working,1.4
2025-09-20 17:52,after,1.5
2025-09-21 04:12,before,0.9
2025-09-21 12:22,working,1.1
2025-09-21 17:52,after,1.2
2025-09-22 05:02,before,1.1
2025-09-22 12:22,working,1.7
2025-09-22 18:12,after,1.5
2025-09-23 05:02,before,1.2
2025-09-23 12:22,working,1.5
2025-09-23 18:02,after,1.4
2025-09-24 05:02,before,1.0
2025-09-24 12:22,working,4.0
2025-09-24 17:52,after,2.7
2025-09-25 05:02,before,0.9
2025-09-25 12:22,working,2.5
2025-09-25 18:02,after,1.8
2025-09-26 05:02,before,1.4
2025-09-26 12:22,working,1.4
2025-09-26 17:52,after,3.5
2025-09-27 05:02,before,1.3
2025-09-27 12:12,working,1.7
2025-09-27 18:02,after,1.4
2025-09-28 05:02,before,1.6
2025-09-28 12:22,working,1.5
2025-09-28 18:02,after,1.7
2025-09-29 05:02,before,1.0
2025-09-29 12:22,working,0.7
2025-09-29 18:12,after,1.9
2025-09-30 05:02,before,1.2
2025-09-30 12:22,working,1.2
2025-09-30 18:02,after,0.9
