datetime,timing,temperature
2025-12-01 04:52,before,8.7
2025-12-01 12:52,working,12.4
2025-12-01 18:12,after,10.9
2025-12-02 04:52,before,8.7
2025-12-02 12:32,working,11.7
2025-12-02 18:02,after,11.6
2025-12-03 04:52,before,9.5
2025-12-03 12:32,working,15.8
2025-12-03 18:02,after,16.6
2025-12-04 04:52,before,16.7
2025-12-04 12:32,working,13.2
2025-12-04 18:02,after,11.5
2025-12-05 04:52,before,8.7
2025-12-05 12:32,working,11.3
2025-12-05 18:02,after,10.4
2025-12-06 04:52,before,8.1
2025-12-06 12:22,working,9.7
2025-12-06 18:02,after,9.5
2025-12-07 04:52,before,7.5
2025-12-07 12:42,working,9.1
2025-12-07 18:02,after,9.6
2025-12-08 04:52,before,7.6
2025-12-08 12:42,working,9.9
2025-12-08 18:12,after,10.2
2025-12-09 04:52,before,6.7
2025-12-09 12:32,working,7.6
2025-12-09 18:02,after,9.4
2025-12-10 04:52,before,6.8
2025-12-10 12:42,working,10.5
2025-12-10 18:02,after,9.0
2025-12-11 04:52,before,6.4
2025-12-11 12:42,working,8.5
2025-12-11 18:02,after,8.2
2025-12-12 05:02,before,6.8
2025-12-12 12:42,working,9.8
2025-12-12 18:12,after,8.5
2025-12-13 05:02,before,6.6
2025-12-13 12:42,working,7.9
2025-12-13 18:02,after,8.0
2025-12-14 05:02,before,7.5
2025-12-14 12:52,working,8.1
2025-12-14 18:02,after,8.1
2025-12-15 05:02,before,7.5
2025-12-15 12:52,working,9.2
2025-12-15 18:22,after,7.4
2025-12-16 05:02,before,5.3
2025-12-16 12:52,working,8.6
2025-12-16 18:12,after,8.9
2025-12-17 05:02,before,6.7
2025-12-17 12:42,working,9.9
2025-12-17 18:12,after,8.9
