datetime,timing,temperature
2025-03-01 05:01,before,8.3
2025-03-01 12:21,working,10.1
2025-03-01 18:11,after,10.9
2025-03-02 05:01,before,8.9
2025-03-02 12:21,working,9.8
2025-03-02 18:11,after,10.4
2025-03-03 05:01,before,9.3
2025-03-03 12:21,working,9.3
2025-03-03 18:11,after,8.3
2025-03-04 05:01,before,7.0
2025-03-04 12:21,working,8.7
2025-03-04 18:11,after,7.9
2025-03-05 05:01,before,6.9
2025-03-05 12:21,working,8.1
2025-03-05 18:11,after,13.2
2025-03-06 05:01,before,13.2
2025-03-06 12:21,working,13.5
2025-03-06 18:11,after,10.2
2025-03-07 05:01,before,7.0
2025-03-07 12:21,working,14.8
2025-03-07 18:11,after,16.5
2025-03-08 05:01,before,15.2
2025-03-08 12:11,working,11.6
2025-03-08 18:01,after,10.8
2025-03-09 04:51,before,8.9
2025-03-09 12:11,working,9.7
2025-03-09 18:01,after,10.5
2025-03-10 04:51,before,7.7
2025-03-10 12:11,working,10.0
2025-03-10 18:01,after,11.3
2025-03-11 05:01,before,8.4
2025-03-11 12:21,working,9.6
2025-03-11 18:11,after,9.4
2025-03-12 05:01,before,8.5
2025-03-12 12:21,working,11.2
2025-03-12 18:11,after,12.8
2025-03-13 05:01,before,11.4
2025-03-13 12:21,working,13.1
2025-03-13 18:12,after,10.9
2025-03-14 05:02,before,7.7
2025-03-14 12:22,working,10.5
2025-03-14 18:12,after,11.4
2025-03-15 05:02,before,8.4
2025-03-15 12:12,working,8.9
2025-03-15 18:12,after,8.3
2025-03-16 05:02,before,7.8
2025-03-16 12:22,working,7.5
2025-03-16 18:02,after,7.4
2025-03-17 05:02,before,7.3
2025-03-17 12:12,working,10.3
2025-03-17 18:02,after,9.6
2025-03-18 05:02,before,6.7
2025-03-18 12:22,working,10.9
2025-03-18 18:02,after,10.5
2025-03-19 04:52,before,8.1
2025-03-19 12:12,working,14.2
2025-03-19 18:02,after,15.0
2025-03-20 04:52,before,14.3
2025-03-20 12:12,working,12.9
2025-03-20 18:02,after,11.4
2025-03-21 04:52,before,7.5
2025-03-21 12:12,working,15.4
2025-03-21 18:02,after,16.2
2025-03-22 04:52,before,15.6
2025-03-22 12:12,working,17.1
2025-03-22 18:02,after,16.5
2025-03-23 04:52,before,15.9
2025-03-23 12:12,working,14.0
2025-03-23 18:02,after,14.5
2025-03-24 04:52,before,11.6
2025-03-24 12:12,working,13.0
2025-03-24 18:02,after,12.8
2025-03-25 04:52,before,10.8
2025-03-25 12:12,working,13.8
2025-03-25 18:02,after,13.4
2025-03-26 04:52,before,12.1
2025-03-26 12:12,working,13.6
2025-03-26 18:02,after,13.2
2025-03-27 04:52,before,10.6
2025-03-27 12:12,working,15.7
2025-03-27 18:02,after,17.1
2025-03-28 04:52,before,16.5
2025-03-28 12:12,working,15.5
2025-03-28 18:02,after,14.8
2025-03-29 04:52,before,12.6
2025-03-29 12:12,working,16.1
2025-03-29 18:02,after,16.9
2025-03-30 04:52,before,17.4
2025-03-30 12:22,working,14.2
2025-03-30 18:02,after,13.4
2025-03-31 04:52,before,10.9
2025-03-31 12:22,working,16.8
2025-03-31 18:02,after,14.8
