datetime,timing,temperature
2025-06-01 04:57,before,-19.7
2025-06-01 12:47,working,-19.6
2025-06-01 18:07,after,-19.9
2025-06-02 04:57,before,-19.6
2025-06-02 12:37,working,-17.8
2025-06-02 18:07,after,-19.9
2025-06-03 04:57,before,-18.0
2025-06-03 12:37,working,-18.3
2025-06-03 18:07,after,-17.7
2025-06-04 04:57,before,-18.1
2025-06-04 12:27,working,-20.0
2025-06-04 17:57,after,-19.0
2025-06-05 04:57,before,-19.7
2025-06-05 12:27,working,-19.2
2025-06-05 17:57,after,-17.9
2025-06-06 04:57,before,-17.7
2025-06-06 12:27,working,-17.1
2025-06-06 17:57,after,-19.0
2025-06-07 04:57,before,-17.8
2025-06-07 12:27,working,-19.0
2025-06-07 17:57,after,-18.6
2025-06-08 04:57,before,-17.7
2025-06-08 12:38,working,-20.0
2025-06-08 17:58,after,-18.6
2025-06-09 04:58,before,-19.4
2025-06-09 12:38,working,-18.2
2025-06-09 18:08,after,-18.3
2025-06-10 04:58,before,-19.4
2025-06-10 12:28,working,-18.9
2025-06-10 18:08,after,-19.1
2025-06-11 04:58,before,-17.8
2025-06-11 12:28,working,-17.8
2025-06-11 17:58,after,-19.4
2025-06-12 04:58,before,-13.4
2025-06-12 12:28,working,-20.0
2025-06-12 17:58,after,-20.0
2025-06-13 04:58,before,-19.5
2025-06-13 12:28,working,-17.9
2025-06-13 17:58,after,-14.2
2025-06-14 04:58,before,-17.8
2025-06-14 12:28,working,-17.4
2025-06-14 17:58,after,-18.7
2025-06-15 04:58,before,-17.6
2025-06-15 12:38,working,-18.8
2025-06-15 17:58,after,-18.2
2025-06-16 04:58,before,-18.1
2025-06-16 12:38,working,-17.1
2025-06-16 18:08,after,-15.3
2025-06-17 04:58,before,-17.6
2025-06-17 12:28,working,-18.2
2025-06-17 18:08,after,-19.0
2025-06-18 04:58,before,-18.4
2025-06-18 12:28,working,-18.5
2025-06-18 18:08,after,-19.0
2025-06-19 04:58,before,-19.0
2025-06-19 12:28,working,-17.2
2025-06-19 17:58,after,-1.6
2025-06-20 04:58,before,-0.9
2025-06-20 12:28,working,-18.6
2025-06-20 17:58,after,-19.1
2025-06-21 04:58,before,-17.9
2025-06-21 12:28,working,-17.6
2025-06-21 17:58,after,-19.0
2025-06-22 04:58,before,-16.2
2025-06-22 12:39,working,-8.6
2025-06-22 17:59,after,-8.4
2025-06-23 04:59,before,-17.5
2025-06-23 12:39,working,-17.1
2025-06-23 18:09,after,-20.0
2025-06-24 04:59,before,-19.0
2025-06-24 12:29,working,-19.0
2025-06-24 18:09,after,-17.8
2025-06-25 04:59,before,-18.8
2025-06-25 12:39,working,-18.8
2025-06-25 18:09,after,-19.9
2025-06-26 04:59,before,-19.0
2025-06-26 12:39,working,-18.8
2025-06-26 18:09,after,-18.6
2025-06-27 04:59,before,-19.5
2025-06-27 12:39,working,-18.3
2025-06-27 17:59,after,-20.2
2025-06-28 04:59,before,-18.3
2025-06-28 12:29,working,-19.4
2025-06-28 17:59,after,-18.2
2025-06-29 04:59,before,-17.8
2025-06-29 12:39,working,-19.4
2025-06-29 17:59,after,-17.1
2025-06-30 04:59,before,-17.5
2025-06-30 12:39,working,-17.1
2025-06-30 18:09,after,-17.6
