datetime,timing,temperature
2025-09-01 05:04,before,-18.8
2025-09-01 12:44,working,-19.3
2025-09-01 18:14,after,-19.1
2025-09-02 05:04,before,-19.4
2025-09-02 12:24,working,-18.9
2025-09-02 18:04,after,-20.2
2025-09-03 05:04,before,-19.2
2025-09-03 12:14,working,-20.3
2025-09-03 18:04,after,-20.5
2025-09-04 05:04,before,-18.0
2025-09-04 12:14,working,-18.3
2025-09-04 18:04,after,-20.4
2025-09-05 05:04,before,-18.4
2025-09-05 12:24,working,-18.0
2025-09-05 18:04,after,-19.0
2025-09-06 05:04,before,-18.7
2025-09-06 12:14,working,-18.2
2025-09-06 18:04,after,-18.2
2025-09-07 05:04,before,-19.5
2025-09-07 12:24,working,-19.5
2025-09-07 18:04,after,-20.6
2025-09-08 05:04,before,-17.9
2025-09-08 12:24,working,-17.9
2025-09-08 18:14,after,-19.2
2025-09-09 05:05,before,-18.7
2025-09-09 12:25,working,-18.6
2025-09-09 18:05,after,-19.4
2025-09-10 05:05,before,-17.7
2025-09-10 12:15,working,-20.9
2025-09-10 18:05,after,-19.7
2025-09-11 05:05,before,-18.1
2025-09-11 12:25,working,-20.3
2025-09-11 18:05,after,-19.9
2025-09-12 05:05,before,-18.0
2025-09-12 12:15,working,-18.7
2025-09-12 18:05,after,-18.5
2025-09-13 05:05,before,-19.4
2025-09-13 12:15,working,-18.2
2025-09-13 18:05,after,-20.1
2025-09-14 05:05,before,-17.7
2025-09-14 12:25,working,-20.5
2025-09-14 18:05,after,-20.1
2025-09-15 04:55,before,-19.8
2025-09-15 12:35,working,-18.9
2025-09-15 18:15,after,-19.1
2025-09-16 05:05,before,-19.9
2025-09-16 12:15,working,-18.9
2025-09-16 18:05,after,-20.5
2025-09-17 05:05,before,-18.8
2025-09-17 12:15,working,-19.7
2025-09-17 18:05,after,-20.4
2025-09-18 05:05,before,-19.1
2025-09-18 12:25,working,-18.9
2025-09-18 18:05,after,-20.1
2025-09-19 05:05,before,-18.0
2025-09-19 12:25,working,-18.7
2025-09-19 18:05,after,-18.5
2025-09-20 05:05,before,-14.7
2025-09-20 12:15,working,-20.1
2025-09-20 18:05,after,-18.4
2025-09-21 05:05,before,-18.0
2025-09-21 12:25,working,-18.8
2025-09-21 18:05,after,-18.6
2025-09-22 05:06,before,-17.8
2025-09-22 12:16,working,-18.4
2025-09-22 18:06,after,-18.6
2025-09-23 04:56,before,-18.4
2025-09-23 12:16,working,-19.6
2025-09-23 17:56,after,-19.0
2025-09-24 04:56,before,-17.8
2025-09-24 12:16,working,-19.0
2025-09-24 17:56,after,-18.3
2025-09-25 04:56,before,-18.1
2025-09-25 12:16,working,-18.6
2025-09-25 17:56,after,-19.3
2025-09-26 04:56,before,-19.1
2025-09-26 12:16,working,-17.8
2025-09-26 17:56,after,-16.0
2025-09-27 04:56,before,-19.1
2025-09-27 12:06,working,-18.9
2025-09-27 17:56,after,-19.0
2025-09-28 04:56,before,-19.2
2025-09-28 12:16,working,-19.6
2025-09-28 17:56,after,-19.8
2025-09-29 04:56,before,-18.2
2025-09-29 12:16,working,-18.5
2025-09-29 18:06,after,-19.4
2025-09-30 04:56,before,-18.3
2025-09-30 12:16,working,-19.5
2025-09-30 17:56,after,-19.1
