datetime,timing,temperature
2025-08-01 05:01,before,-20.2
2025-08-01 12:52,working,-20.2
2025-08-01 18:12,after,-18.8
2025-08-02 05:02,before,-17.8
2025-08-02 12:42,working,-19.7
2025-08-02 18:12,after,-19.8
2025-08-03 05:02,before,-19.2
2025-08-03 13:02,working,-18.4
2025-08-03 18:02,after,-19.5
2025-08-04 05:02,before,-20.1
2025-08-04 13:02,working,-20.2
2025-08-04 18:22,after,-18.1
2025-08-05 02:32,before,-18.5
2025-08-05 12:52,working,-18.7
2025-08-05 18:12,after,-19.9
2025-08-06 05:02,before,-18.5
2025-08-06 12:52,working,-20.3
2025-08-06 18:12,after,-18.9
2025-08-07 05:02,before,-18.1
2025-08-07 12:52,working,-19.2
2025-08-07 18:12,after,-18.4
2025-08-08 05:02,before,-19.2
2025-08-08 12:52,working,-20.0
2025-08-08 18:12,after,-19.1
2025-08-09 05:02,before,-18.9
2025-08-09 12:42,working,-18.7
2025-08-09 18:02,after,-19.8
2025-08-10 05:02,before,-17.7
2025-08-10 12:52,working,-19.4
2025-08-10 18:02,after,-19.5
2025-08-11 05:02,before,-17.8
2025-08-11 12:52,working,-19.1
2025-08-11 18:12,after,-19.9
2025-08-11 18:52,after,-19.2
2025-08-12 05:02,before,-20.0
2025-08-12 12:42,working,-19.7
2025-08-12 18:12,after,-18.9
2025-08-13 05:02,before,-18.5
2025-08-13 12:42,working,-19.6
2025-08-13 18:12,after,-18.4
2025-08-14 05:02,before,-18.4
2025-08-14 12:43,working,-20.0
2025-08-14 18:13,after,-18.6
2025-08-15 05:03,before,-19.5
2025-08-15 12:43,working,-19.5
2025-08-15 18:13,after,-18.2
2025-08-16 05:03,before,-20.2
2025-08-16 12:23,working,-19.4
2025-08-16 18:03,after,-19.5
2025-08-17 05:03,before,-20.0
2025-08-17 12:43,working,-19.9
2025-08-17 18:03,after,-19.8
2025-08-18 05:03,before,-19.0
2025-08-18 12:53,working,-20.0
2025-08-18 18:13,after,-18.5
2025-08-19 05:03,before,-19.7
2025-08-19 12:33,working,-19.3
2025-08-19 18:03,after,-20.2
2025-08-20 05:03,before,-18.3
2025-08-20 12:33,working,-18.6
2025-08-20 18:03,after,-20.1
2025-08-21 05:03,before,-20.1
2025-08-21 12:33,working,-20.4
2025-08-21 17:53,after,-18.9
2025-08-22 05:03,before,-20.1
2025-08-22 12:33,working,-19.0
2025-08-22 18:03,after,-20.2
2025-08-23 05:03,before,-17.8
2025-08-23 12:23,working,-18.4
2025-08-23 18:03,after,-19.0
2025-08-24 05:03,before,-18.7
2025-08-24 12:33,working,-18.4
2025-08-24 18:03,after,-19.8
2025-08-25 05:03,before,-19.9
2025-08-25 12:33,working,-20.6
2025-08-25 17:23,after,-11.8
2025-08-26 05:03,before,-18.5
2025-08-26 12:23,working,-20.2
2025-08-26 18:03,after,-20.4
2025-08-27 05:03,before,-20.0
2025-08-27 12:24,working,-18.7
2025-08-27 18:04,after,-19.3
2025-08-28 05:04,before,-18.2
2025-08-28 12:24,working,-20.1
2025-08-28 18:04,after,-19.4
2025-08-29 05:04,before,-19.0
2025-08-29 12:24,working,-19.4
2025-08-29 18:04,after,-18.4
2025-08-30 05:04,before,-18.3
2025-08-30 12:24,working,-20.1
2025-08-30 18:04,after,-20.2
2025-08-31 05:04,before,-19.6
2025-08-31 12:24,working,-19.6
2025-08-31 18:04,after,-19.6
