datetime,timing,temperature
2024-10-01 04:29,before,-18.3
2024-10-01 11:59,working,-19.8
2024-10-01 17:59,after,-19.0
2024-10-02 04:49,before,-17.9
2024-10-02 11:59,working,-19.8
2024-10-02 17:59,after,-18.5
2024-10-03 04:59,before,-19.0
2024-10-03 12:09,working,-18.2
2024-10-03 17:49,after,-18.2
2024-10-04 04:49,before,-17.7
2024-10-04 12:09,working,-19.6
2024-10-04 17:59,after,-14.9
2024-10-05 04:49,before,-18.3
2024-10-05 11:59,working,-19.3
2024-10-05 17:49,after,-18.5
2024-10-06 04:49,before,-18.8
2024-10-06 11:49,working,-18.1
2024-10-06 17:29,after,-19.0
2024-10-07 02:59,before,-17.5
2024-10-07 12:09,working,-18.8
2024-10-07 17:59,after,-18.4
2024-10-08 04:49,before,-17.8
2024-10-08 12:09,working,-19.7
2024-10-08 17:59,after,-20.0
2024-10-09 04:49,before,-18.6
2024-10-09 12:09,working,-17.7
2024-10-09 17:59,after,-18.5
2024-10-10 04:49,before,-20.0
2024-10-10 12:09,working,-18.1
2024-10-10 17:59,after,-18.0
2024-10-11 04:49,before,-17.5
2024-10-11 11:59,working,-17.9
2024-10-11 17:59,after,-19.4
2024-10-12 04:49,before,-17.6
2024-10-12 11:59,working,-18.4
2024-10-12 17:59,after,-17.4
2024-10-13 04:49,before,-19.9
2024-10-13 12:09,working,-17.7
2024-10-13 15:10,after,-19.3
2024-10-14 04:50,before,-17.4
2024-10-14 12:10,working,-20.4
2024-10-14 18:00,after,-20.0
2024-10-15 05:00,before,-18.7
2024-10-15 12:10,working,-19.8
2024-10-15 15:50,after,-17.8
2024-10-16 01:30,before,-17.7
2024-10-16 11:50,working,-19.8
2024-10-16 15:30,after,-12.7
2024-10-17 05:00,before,-17.7
2024-10-17 12:10,working,-19.4
2024-10-17 18:00,after,-17.6
2024-10-18 04:50,before,-19.5
2024-10-18 12:10,working,-20.6
2024-10-18 18:00,after,-17.8
2024-10-19 04:50,before,-18.1
2024-10-19 12:00,working,-20.3
2024-10-19 18:00,after,-18.7
2024-10-20 04:50,before,-18.0
2024-10-20 12:10,working,-19.2
2024-10-20 18:00,after,-17.4
2024-10-21 04:50,before,-19.7
2024-10-21 12:10,working,-18.4
2024-10-21 16:00,after,-19.0
2024-10-22 00:40,before,-18.3
2024-10-22 12:10,working,-19.1
2024-10-22 18:00,after,-17.6
2024-10-23 04:50,before,-18.4
2024-10-23 12:10,working,-17.9
2024-10-23 18:00,after,-20.0
2024-10-24 04:50,before,-19.6
2024-10-24 12:10,working,-20.0
2024-10-24 18:00,after,-19.3
2024-10-25 04:50,before,-18.4
2024-10-25 12:10,working,-18.1
2024-10-25 18:00,after,-19.3
2024-10-26 04:50,before,-18.7
2024-10-26 12:00,working,-19.2
2024-10-26 18:01,after,-18.5
2024-10-27 04:51,before,-19.3
2024-10-27 12:11,working,-19.3
2024-10-27 18:01,after,-17.9
2024-10-28 04:51,before,-18.4
2024-10-28 12:11,working,-18.7
2024-10-28 18:01,after,-17.6
2024-10-29 04:50,before,-17.9
2024-10-29 12:11,working,-18.2
2024-10-29 18:01,after,-19.6
2024-10-30 04:51,before,-18.5
2024-10-30 12:11,working,-19.9
2024-10-30 18:01,after,-19.9
2024-10-31 04:51,before,-17.3
2024-10-31 12:11,working,-19.8
2024-10-31 18:01,after,-19.1
