datetime,timing,temperature
2025-07-01 05:02,before,1.1
2025-07-01 12:52,working,1.7
2025-07-01 18:12,after,0.6
2025-07-02 05:02,before,1.4
2025-07-02 12:42,working,0.6
2025-07-02 18:12,after,1.8
2025-07-03 05:02,before,1.5
2025-07-03 12:42,working,1.7
2025-07-03 18:12,after,1.6
2025-07-04 05:02,before,1.2
2025-07-04 12:42,working,1.9
2025-07-04 17:22,after,1.5
2025-07-05 04:12,before,0.7
2025-07-05 12:32,working,2.0
2025-07-05 18:02,after,4.0
2025-07-06 05:02,before,3.9
2025-07-06 12:42,working,4.3
2025-07-06 18:02,after,4.7
2025-07-07 05:02,before,3.8
2025-07-07 12:42,working,1.8
2025-07-07 18:12,after,1.9
2025-07-08 05:02,before,1.3
2025-07-08 12:42,working,1.1
2025-07-08 18:12,after,0.6
2025-07-09 05:02,before,0.7
2025-07-09 12:42,working,0.2
2025-07-09 18:12,after,1.4
2025-07-10 05:02,before,1.0
2025-07-10 12:42,working,2.2
2025-07-10 18:12,after,1.4
2025-07-11 05:02,before,0.4
2025-07-11 12:42,working,1.3
2025-07-11 18:12,after,3.6
2025-07-12 05:02,before,2.9
2025-07-12 12:42,working,3.1
2025-07-12 18:02,after,3.4
2025-07-13 05:02,before,2.7
2025-07-13 12:52,working,3.1
2025-07-13 18:02,after,3.2
2025-07-14 05:02,before,3.0
2025-07-14 12:52,working,5.6
2025-07-14 18:12,after,2.9
2025-07-15 05:02,before,2.4
2025-07-15 12:52,working,0.0
2025-07-15 18:12,after,1.3
2025-07-16 05:02,before,0.4
2025-07-16 12:42,working,2.4
2025-07-16 18:12,after,2.0
2025-07-17 05:02,before,1.4
2025-07-17 12:42,working,1.7
2025-07-17 18:12,after,1.5
2025-07-18 05:02,before,0.5
2025-07-18 12:52,working,1.2
2025-07-18 18:12,after,0.5
2025-07-19 05:02,before,-0.1
2025-07-19 12:42,working,-0.8
2025-07-19 18:02,after,-2.0
2025-07-20 05:02,before,-0.1
2025-07-20 12:52,working,-1.1
2025-07-20 18:02,after,-2.2
2025-07-21 05:02,before,-1.7
2025-07-21 12:52,working,-0.8
2025-07-21 18:12,after,1.1
2025-07-22 05:02,before,1.1
2025-07-22 12:52,working,1.1
2025-07-22 18:12,after,0.3
2025-07-23 05:02,before,0.2
2025-07-23 12:52,working,3.3
2025-07-23 18:12,after,2.1
2025-07-24 05:02,before,1.6
2025-07-24 12:52,working,1.3
2025-07-24 18:12,after,1.5
2025-07-25 05:02,before,1.2
2025-07-25 12:32,working,0.8
2025-07-25 18:12,after,2.1
2025-07-26 05:02,before,0.9
2025-07-26 12:42,working,2.1
2025-07-26 18:02,after,1.0
2025-07-27 05:02,before,0.6
2025-07-27 12:52,working,1.1
2025-07-27 18:02,after,1.0
2025-07-28 05:02,before,0.5
2025-07-28 12:52,working,1.4
2025-07-28 18:12,after,1.4
2025-07-29 05:02,before,0.7
2025-07-29 05:02,before,0.7
2025-07-29 12:52,working,1.1
2025-07-29 18:12,after,0.5
2025-07-30 05:02,before,-0.2
2025-07-30 12:52,working,0.0
2025-07-30 18:12,after,0.3
2025-07-31 05:02,before,-0.2
2025-07-31 12:52,working,0.4
2025-07-31 18:12,after,1.5
