datetime,timing,temperature
2024-09-01 05:00,before,1.0
2024-09-01 12:00,working,1.0
2024-09-01 18:00,after,1.0
2024-09-02 05:00,before,1.0
2024-09-02 12:00,working,1.0
2024-09-02 22:19,after,2.1
2024-09-03 04:49,before,2.2
2024-09-03 11:59,working,3.7
2024-09-03 17:59,after,2.8
2024-09-04 04:49,before,1.7
2024-09-04 11:59,working,5.3
2024-09-04 17:59,after,3.3
2024-09-05 04:49,before,2.0
2024-09-05 11:59,working,2.2
2024-09-05 17:59,after,1.9
2024-09-06 04:49,before,1.8
2024-09-06 11:59,working,2.3
2024-09-06 17:59,after,2.0
2024-09-07 04:49,before,1.8
2024-09-07 11:59,working,2.5
2024-09-07 17:59,after,2.1
2024-09-08 04:49,before,0.9
2024-09-08 11:59,working,1.7
2024-09-08 17:59,after,1.9
2024-09-09 04:49,before,1.2
2024-09-09 11:59,working,4.4
2024-09-09 18:09,after,3.2
2024-09-10 04:49,before,1.9
2024-09-10 11:59,working,3.9
2024-09-10 17:59,after,2.9
2024-09-11 04:59,before,1.7
2024-09-11 11:59,working,3.1
2024-09-11 17:59,after,2.0
2024-09-12 04:49,before,1.0
2024-09-12 11:59,working,2.7
2024-09-12 17:59,after,2.2
2024-09-13 04:59,before,1.4
2024-09-13 11:59,working,2.2
2024-09-13 17:59,after,2.3
2024-09-14 04:49,before,1.9
2024-09-14 11:59,working,2.8
2024-09-14 17:59,after,2.4
2024-09-15 04:49,before,1.6
2024-09-15 12:09,working,1.7
2024-09-15 17:59,after,1.8
2024-09-16 04:49,before,1.9
2024-09-16 12:09,working,1.8
2024-09-16 17:49,after,3.0
2024-09-17 04:49,before,1.4
2024-09-17 11:59,working,3.2
2024-09-17 17:59,after,2.2
2024-09-18 04:49,before,1.8
2024-09-18 11:59,working,4.2
2024-09-18 17:59,after,2.8
2024-09-19 04:49,before,2.1
2024-09-19 11:59,working,4.9
2024-09-19 17:59,after,2.4
2024-09-20 04:49,before,1.2
2024-09-20 11:59,working,3.1
2024-09-20 17:59,after,2.5
2024-09-21 04:49,before,1.6
2024-09-21 11:59,working,2.5
2024-09-21 17:59,after,2.9
2024-09-22 04:49,before,1.9
2024-09-22 12:09,working,4.2
2024-09-22 17:59,after,4.0
2024-09-23 02:39,before,2.5
2024-09-23 12:09,working,5.6
2024-09-23 17:59,after,2.4
2024-09-24 04:49,before,0.7
2024-09-24 12:09,working,2.0
2024-09-24 17:59,after,2.2
2024-09-25 04:49,before,0.9
2024-09-25 12:09,working,0.9
2024-09-25 17:59,after,2.1
2024-09-26 04:59,before,0.7
2024-09-26 12:09,working,1.7
2024-09-26 17:59,after,1.8
2024-09-27 04:49,before,1.4
2024-09-27 12:09,working,1.3
2024-09-27 17:59,after,2.1
2024-09-28 04:49,before,1.5
2024-09-28 11:59,working,2.1
2024-09-28 17:59,after,1.8
2024-09-29 04:49,before,1.0
2024-09-29 12:09,working,1.4
2024-09-29 17:59,after,2.1
2024-09-30 04:49,before,0.5
2024-09-30 12:09,working,0.8
2024-09-30 17:59,after,2.2
